Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	-011,6	4
 41,40347	-008,71083	-017,1	4
 41,40347	-008,70584	-016,8	4
 41,40347	-008,70085	-014,9	4
 41,40347	-008,69586	-015,3	4
 41,40348	-008,69087	-016,7	4
 41,40347	-008,68588	-018,4	4
 41,40347	-008,68089	-018,9	4
 41,40347	-008,67590	-021,0	4
 41,40347	-008,67091	-018,1	4
 41,40347	-008,66593	-017,6	4
 41,40347	-008,66093	-020,5	4
 41,40347	-008,65594	-015,9	4
 41,40347	-008,65095	-017,4	4
 41,40347	-008,64596	-016,6	4
 41,40347	-008,64097	-016,6	4
 41,40347	-008,63598	-018,5	4
 41,40347	-008,63099	-019,7	4
 41,40347	-008,62600	-019,3	4
 41,40347	-008,62101	-017,9	4
 41,40347	-008,61602	-019,8	4
 41,40347	-008,61103	-018,0	4
 41,40347	-008,60604	-021,5	4
 41,40347	-008,60105	-023,2	4
 41,40347	-008,59606	-025,2	4
 41,40348	-008,59107	-020,1	4
 41,40347	-008,58608	-020,2	4
 41,40347	-008,58109	-008,8	4
 41,40347	-008,57610	-008,6	4
 41,40347	-008,57111	-012,6	4
 41,40347	-008,56612	-012,0	4
 41,40347	-008,56113	-009,7	4
 41,40347	-008,55614	-008,7	4
 41,40347	-008,55115	-015,7	4
 41,40347	-008,54616	 000,5	4
 41,40347	-008,54117	-005,2	4
 41,40347	-008,53618	-008,1	4
 41,40347	-008,53119	-010,0	4
 41,40347	-008,52620	-011,1	4
 41,40347	-008,52121	-016,0	4
 41,40347	-008,51622	-016,8	4
 41,40347	-008,51123	-010,0	4
 41,40348	-008,50624	-007,6	4
 41,40347	-008,50125	-007,5	4
 41,40347	-008,49626	-006,9	4
 41,40347	-008,49127	-009,4	4
 41,40347	-008,48628	-014,9	4
 41,40347	-008,48129	-017,5	4
 41,40347	-008,47630	-009,6	4
 41,40347	-008,47131	-007,7	4
 41,40347	-008,46632	-004,8	4
 41,40347	-008,46133	-005,5	4
 41,40347	-008,45634	-012,8	4
 41,40347	-008,45135	-018,8	4
 41,40348	-008,44636	-008,6	4
 41,40347	-008,44137	-020,3	4
 41,40347	-008,43638	-017,6	4
 41,40347	-008,43139	-020,8	4
 41,40347	-008,42640	-013,8	4
 41,40347	-008,42141	 002,7	4
 41,40347	-008,41642	-001,9	4
 41,40347	-008,41143	-003,9	4
 41,40347	-008,40644	-008,4	4
 41,40347	-008,40145	-019,6	4
 41,40347	-008,39646	-010,3	4
 41,40347	-008,39147	-006,8	4
 41,40347	-008,38648	-011,8	4
 41,40347	-008,38149	-011,8	4
 41,40347	-008,37650	-013,6	4
 41,40347	-008,37151	-013,3	4
 41,40347	-008,36652	-014,6	4
 41,40347	-008,36153	-006,7	4
 41,40347	-008,35654	-010,9	4
 41,40347	-008,35155	-005,7	4
 41,40348	-008,34656	 004,2	4
 41,40347	-008,34157	 002,6	4
 41,40347	-008,33658	 001,2	4
 41,40347	-008,33159	-016,1	4
 41,40347	-008,32660	-002,6	4
 41,40347	-008,32161	-013,9	4
 41,40347	-008,31662	-013,9	4
 41,40347	-008,31163	-000,7	4
 41,40347	-008,30663	-009,6	4
 41,40347	-008,30165	-014,5	4
 41,40347	-008,29666	-010,7	4
 41,40347	-008,29167	-018,4	4
 41,40347	-008,28667	-012,9	4
 41,40347	-008,28168	-013,6	4
 41,40347	-008,27670	-014,9	4
 41,40347	-008,27170	 005,2	4
 41,40347	-008,26672	 002,8	4
 41,40347	-008,26172	 000,3	4
 41,40347	-008,25673	-000,2	4
 41,40347	-008,25174	-012,1	4
 41,40347	-008,24675	-005,5	4
 41,40347	-008,24176	 002,0	4
 41,40347	-008,23677	-011,6	4
 41,40347	-008,23178	-002,4	4
 41,40347	-008,22679	-010,4	4
 41,40347	-008,22180	-013,0	4
 41,40347	-008,21681	-004,5	4
 41,40347	-008,21182	-004,1	4
 41,40347	-008,20683	-002,6	4
 41,40347	-008,20184	-004,8	4
 41,40347	-008,19685	-009,7	4
 41,40347	-008,19186	 003,4	4
 41,40347	-008,18687	-005,1	4
 41,40347	-008,18188	-003,5	4
 41,40347	-008,17689	 004,1	4
