Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 005,4	3
 41,40347	-008,71083	 004,2	3
 41,40347	-008,70584	 012,9	3
 41,40347	-008,70085	 012,5	3
 41,40347	-008,69586	 007,5	3
 41,40348	-008,69087	 005,0	3
 41,40347	-008,68588	 003,7	3
 41,40347	-008,68089	 004,2	3
 41,40347	-008,67590	-000,2	3
 41,40347	-008,67091	 002,8	3
 41,40347	-008,66593	-002,2	3
 41,40347	-008,66093	-007,8	3
 41,40347	-008,65594	-001,5	3
 41,40347	-008,65095	 004,5	3
 41,40347	-008,64596	 004,1	3
 41,40347	-008,64097	-000,8	3
 41,40347	-008,63598	-002,2	3
 41,40347	-008,63099	-001,2	3
 41,40347	-008,62600	-006,8	3
 41,40347	-008,62101	-005,8	3
 41,40347	-008,61602	-008,3	3
 41,40347	-008,61103	-002,4	3
 41,40347	-008,60604	-000,9	3
 41,40347	-008,60105	 002,6	3
 41,40347	-008,59606	 001,0	3
 41,40348	-008,59107	-006,1	3
 41,40347	-008,58608	-009,5	3
 41,40347	-008,58109	 002,6	3
 41,40347	-008,57610	 018,6	3
 41,40347	-008,57111	 007,7	3
 41,40347	-008,56612	 016,0	3
 41,40347	-008,56113	 017,5	3
 41,40347	-008,55614	 019,2	3
 41,40347	-008,55115	 024,2	3
 41,40347	-008,54616	 023,6	3
 41,40347	-008,54117	 012,3	3
 41,40347	-008,53618	 016,6	3
 41,40347	-008,53119	 011,3	3
 41,40347	-008,52620	 016,7	3
 41,40347	-008,52121	 011,2	3
 41,40347	-008,51622	-000,6	3
 41,40347	-008,51123	 019,3	3
 41,40348	-008,50624	 009,7	3
 41,40347	-008,50125	 014,1	3
 41,40347	-008,49626	 015,3	3
 41,40347	-008,49127	 012,4	3
 41,40347	-008,48628	 009,0	3
 41,40347	-008,48129	 008,4	3
 41,40347	-008,47630	 012,1	3
 41,40347	-008,47131	 014,1	3
 41,40347	-008,46632	 013,6	3
 41,40347	-008,46133	 013,0	3
 41,40347	-008,45634	 008,1	3
 41,40347	-008,45135	-002,5	3
 41,40348	-008,44636	 006,0	3
 41,40347	-008,44137	 005,7	3
 41,40347	-008,43638	-000,2	3
 41,40347	-008,43139	 013,6	3
 41,40347	-008,42640	-003,8	3
 41,40347	-008,42141	 022,0	3
 41,40347	-008,41642	 019,3	3
 41,40347	-008,41143	 018,1	3
 41,40347	-008,40644	 015,7	3
 41,40347	-008,40145	 012,2	3
 41,40347	-008,39646	 004,7	3
 41,40347	-008,39147	 010,4	3
 41,40347	-008,38648	 008,8	3
 41,40347	-008,38149	 006,1	3
 41,40347	-008,37650	 003,5	3
 41,40347	-008,37151	 011,1	3
 41,40347	-008,36652	 008,9	3
 41,40347	-008,36153	 013,7	3
 41,40347	-008,35654	 017,2	3
 41,40347	-008,35155	 023,5	3
 41,40348	-008,34656	 027,7	3
 41,40347	-008,34157	 028,2	3
 41,40347	-008,33658	 024,3	3
 41,40347	-008,33159	-000,7	3
 41,40347	-008,32660	 020,0	3
 41,40347	-008,32161	 014,0	3
 41,40347	-008,31662	 023,7	3
 41,40347	-008,31163	 028,0	3
 41,40347	-008,30663	 024,7	3
 41,40347	-008,30165	 005,7	3
 41,40347	-008,29666	-007,7	3
 41,40347	-008,29167	 005,1	3
 41,40347	-008,28667	-005,5	3
 41,40347	-008,28168	 005,1	3
 41,40347	-008,27670	-013,5	3
 41,40347	-008,27170	 029,0	3
 41,40347	-008,26672	 026,8	3
 41,40347	-008,26172	 024,3	3
 41,40347	-008,25673	 025,8	3
 41,40347	-008,25174	 013,6	3
 41,40347	-008,24675	 025,9	3
 41,40347	-008,24176	 026,3	3
 41,40347	-008,23677	 007,7	3
 41,40347	-008,23178	 008,3	3
 41,40347	-008,22679	 010,9	3
 41,40347	-008,22180	-004,1	3
 41,40347	-008,21681	 004,1	3
 41,40347	-008,21182	 000,6	3
 41,40347	-008,20683	 010,4	3
 41,40347	-008,20184	 017,3	3
 41,40347	-008,19685	 030,4	3
 41,40347	-008,19186	 026,1	3
 41,40347	-008,18687	 017,2	3
 41,40347	-008,18188	 023,4	3
 41,40347	-008,17689	 028,6	3
 41,40347	-008,17190	 014,4	3
 41,40347	-008,16691	 016,0	3
 41,40347	-008,16192	 012,1	3
 41,40347	-008,15693	 001,6	3
 41,40347	-008,15194	 026,7	3
 41,40347	-008,14695	 031,3	3
 41,40347	-008,14196	 006,7	3
 41,40347	-008,13697	 013,3	3
 41,40347	-008,13198	 018,2	3
 41,40347	-008,12699	 005,7	3
 41,40347	-008,12200	 010,8	3
 41,40347	-008,11701	 030,9	3
 41,40347	-008,11202	 021,4	3
 41,40347	-008,10703	 002,2	3
 41,40347	-008,10204	 002,8	3
 41,40347	-008,09705	 003,7	3
 41,40347	-008,09206	 026,0	3
